church_name,city,state,denomination,email,contact_person,source_url,draft_created,sent_on,reply,do_not_contact
CSI St. George's Cathedral,Chennai,Tamil Nadu,CSI,csisgcs@gmail.com,Rev. Dr. Ruben Jayakumar,https://www.csistgeorgescathedral.com/,,,,
CSI Redeemer Church (Anna Nagar),Chennai,Tamil Nadu,CSI,csiredeermer1@gmail.com,Rev. Dr. I. Samuel Prabhakar,https://www.csiredeemerchurch.org/,,,,
CSI Holy Trinity Church (Moovarasanpet),Chennai,Tamil Nadu,CSI,csihtc91@gmail.com,Rev. S. Salomon Soundara Dass,https://csiholytrinitychurch.com/,,,,
Holy Trinity CSI Malayalam Church,Chennai,Tamil Nadu,CSI,chennai.csihtc@gmail.com,Rev. Lino S John,https://www.csihtc.com/,,,,
St. Thomas Church CSI Malayalam Congregation (Tambaram),Chennai,Tamil Nadu,CSI,samnjoshua@gmail.com,Rev. Sam N. Joshua,https://csimadhyakeraladiocese.org/districts/churches-outside-kerala/,,,,
The Christ Church Malayalam Congregation (Mogappair),Chennai,Tamil Nadu,CSI,gibinthampy.p@gmail.com,Rev. Gibin Thampy,https://csimadhyakeraladiocese.org/districts/churches-outside-kerala/,,,,
The Methodist Tamil Church (Vepery),Chennai,Tamil Nadu,Methodist,seniorpastor@mtcvepery.org,,http://www.mtcvepery.org/contact-us/,,,,
Tamil Baptist Church (Kilpauk),Chennai,Tamil Nadu,Baptist,tbc@tamilbaptist.org,Rev. Dr. Sam Devenesam,https://tamilbaptist.org/,,,,
New Life Fellowship Church Coimbatore,Coimbatore,Tamil Nadu,Pentecostal (New Life Fellowship),nlf641@gmail.com,,https://www.nlfcbe.in/,,,,
CSI All Saints Malayalam Congregation,Coimbatore,Tamil Nadu,CSI,allsaintscsimccbe@gmail.com,Rev. Bino Jacob,https://www.allsaintscbe.org/,,,,
Full Gospel Pentecostal Church (Ondipudur),Coimbatore,Tamil Nadu,Pentecostal,fgpcondipudur16@gmail.com,,https://www.fgpcondipudur.com/,,,,
CSI Immanuel Cathedral Ernakulam,Kochi,Kerala,CSI,csiimmanuelekm@gmail.com,,https://csiimmanuelcathedral.org/contact-us/,,,,
Nazareth AG Church,Kochi,Kerala,Assemblies of God,nazarethagkochi@gmail.com,Pr. Biju PS,https://www.nazarethagkochi.com/,,,,
Grace City Church,Kochi,Kerala,Independent evangelical,info@gracecitychurch.in,,https://www.gracecitychurch.in/connect,,,,
Trivandrum Bible Fellowship,Thiruvananthapuram,Kerala,Independent,contact@tbfchurch.in,,https://tbfchurch.in/,,,,
St. Pius X Church (Maruthoorkonam),Thiruvananthapuram,Kerala,Catholic,stpiusxchurchtvm@gmail.com,,https://stpiusxchurchmaruthoorkonam.com/contact.php,,,,
Centenary Methodist English Church (CMEC),Hyderabad,Telangana,Methodist,pastorcmec@gmail.com,Rev. Sanjay A Paul,https://www.cmechyd.org/staff.html,,,,
New Life Assembly of God Church,Secunderabad,Telangana,Assemblies of God,info@newlifeag.in,,https://newlifeag.in/,,,,
Revival Centre AG Church,Hyderabad,Telangana,Assemblies of God,info@revivalcentre.org,Rev. Mathew George,https://revivalcentre.org/,,,,
New City Church,Hyderabad,Telangana,Independent evangelical,info@newcity.in,,https://www.newcitychurch.in/contact,,,,
Grace Tabernacle Church,Hyderabad,Telangana,Independent evangelical,pastorjamesgtc@gmail.com,,https://www.gracetabernaclehyd.org/contact-us/,,,,
Bethel Ministries (Bethel House of Worship),Hyderabad,Telangana,Independent Pentecostal,info@bethel.org.in,Peter Samuel,https://www.bethel.org.in/,,,,
Calvary Temple,Hyderabad,Telangana,Independent Pentecostal,info@calvarytemple.in,Dr. Satish Kumar,https://calvarytemplelive.in/calvary-temple,,,,
Vizag Marthoma Church,Visakhapatnam,Andhra Pradesh,Mar Thoma,vizagmarthomachurch@gmail.com,,https://vizagmarthomachurc.yolasite.com/,,,,
Hosanna Ministries,Guntur,Andhra Pradesh,Independent Pentecostal,hosannaministriesguntur@gmail.com,,https://hosannaministries.co/contact-us,,,,
Our Lady of Grace Church,Margao,Goa,Catholic,gracechurch.margao@gmail.com,,https://www.gracechurchmargao.com/,,,,
Immaculate Conception Church,Panaji,Goa,Catholic,icchurch_08@yahoo.in,Fr. Cipriano Da Silva,https://icchurchpanjim.com/contact/,,,,
Holy Family Church,Porvorim,Goa,Catholic,parishpriest@holyfamilychurchgoa.com,Fr. Adolfo Alvares,https://www.holyfamilychurchgoa.com/contact/,,,,
The Bible Church Goa,Panaji,Goa,Independent evangelical,truth@biblechurchgoa.org,Stevens Dumpala,https://biblechurchgoa.org/,,,,
Grace and Truth Baptist Church,Porvorim,Goa,Independent Baptist,lordsonroch@live.com,Lordson Roch,http://www.baptistchurchgoa.org/,,,,
Living Word Church,Mumbai,Maharashtra,Independent evangelical,hello@livingword.in,,https://www.livingword.in/,,,,
Selah Mumbai,Mumbai,Maharashtra,Independent evangelical,mumbaiselah@gmail.com,,https://selahmumbai.com/,,,,
St. Andrew's Church Bandra,Mumbai,Maharashtra,Catholic,standrewchurch50@gmail.com,,https://www.standrewchurch.in/contact,,,,
Bombay Baptist Church,Mumbai,Maharashtra,Baptist,bombaybaptistchurch@gmail.com,,https://www.bombaybaptistchurch.org/connect/,,,,
Chembur Biblical Baptist Church,Mumbai,Maharashtra,Baptist,chemburbiblicalbaptist@gmail.com,Bro. Stephen Gaikwad,https://chemburbiblicalbaptist.org/contact/,,,,
New Life Fellowship Chembur,Mumbai,Maharashtra,New Life Fellowship,chemburnewlife@gmail.com,,https://www.chemburnewlife.in/,,,,
Taylor Memorial Methodist Church (English),Mumbai,Maharashtra,Methodist,taylorenglishchurch@gmail.com,Rev. Abhijeet V Sasane,https://taylormemorialmethodistchurch.com/,,,,
CNI Andheri Church,Mumbai,Maharashtra,CNI,cniaect@gmail.com,Rev. Keith Pasgon,https://www.cniandherichurch.in/,,,,
Cornerstone Assembly of God (Kalina),Mumbai,Maharashtra,Assemblies of God,hgaikwad37@yahoo.com,,https://cornestoneassemblyofgod.ueniweb.com/,,,,
City Light Church (Belapur),Navi Mumbai,Maharashtra,Independent evangelical,admin@citylightchurch.in,,http://www.citylightchurch.in/,,,,
Cathedral of the Holy Name,Mumbai,Maharashtra,Catholic,cathedralofholyname@gmail.com,Fr. Constancio Noronha,https://www.archdioceseofbombay.org/parishes/cathedraloftheholyname,,,,
St Joseph Parish Colaba,Mumbai,Maharashtra,Catholic,josephrcch@gmail.com,Fr. Neil Cerejo,https://www.archdioceseofbombay.org/parishes/stjoseph-colaba,,,,
St John the Evangelist Parish (Fort),Mumbai,Maharashtra,Catholic,stjohnevangelistfort@gmail.com,Fr. Gilbert Caroza,https://www.archdioceseofbombay.org/parishes/stjohn-fort,,,,
St Stephen Parish (Cumballa Hill),Mumbai,Maharashtra,Catholic,ststephen1941@gmail.com,Fr. Terence Murray,https://www.archdioceseofbombay.org/parishes/ststephen,,,,
Our Lady of Victories Parish (Mahim),Mumbai,Maharashtra,Catholic,ourladyofvictoriesmahim@gmail.com,Fr. Anthony F. D'Souza,https://www.archdioceseofbombay.org/parishes/olvictories,,,,
Holy Cross Parish (Lower Parel),Mumbai,Maharashtra,Catholic,hcch1904@gmail.com,Fr. Venancio Mascarenhas,https://www.archdioceseofbombay.org/parishes/holycross-parel,,,,
Our Lady of Glory Parish (Byculla),Mumbai,Maharashtra,Catholic,gloriabyculla@yahoo.com,Fr. Cajetan Pinto,https://www.archdioceseofbombay.org/parishes/olglory,,,,
Word of Grace Church,Pune,Maharashtra,Independent charismatic,wogchurch@gmail.com,,https://www.wordofgracechurch.org/contact/,,,,
Disciples Community Church,Pune,Maharashtra,Independent evangelical,info@dccpune.org,Pastor Chris Williams,https://dccpune.org/contact-us/,,,,
St. Paul's Church Pune,Pune,Maharashtra,CNI,stpaulchurchpune@gmail.com,Rev. Dr. Kenseelan Azariah,https://www.stpaulspune.in/contact,,,,
St. Francis de Sales Cathedral,Nagpur,Maharashtra,Catholic,sebynag@outlook.com,Fr. Sebastiraj,https://sites.google.com/site/sfschurchnagpur/home/contact-us,,,,
Grace Fellowship Assembly of God Church,Ahmedabad,Gujarat,Assemblies of God,spreadingthelight@gmail.com,,https://graceahmedabad.org/contact,,,,
Don Bosco Church Vadodara,Vadodara,Gujarat,Catholic,donboscochurchvadodara@gmail.com,,https://www.donboscochurchvadodara.com/contact,,,,
St. Francis Cathedral,Indore,Madhya Pradesh,Catholic,cathedral@indorediocese.com,Fr. Sumit Tahir,https://indorediocese.com/parishes/indore-deanery/,,,,
St. Arnold's Church (Vijayanagar),Indore,Madhya Pradesh,Catholic,sac.vijayanagar@indorediocese.com,Fr. Alfred Fernandes,https://indorediocese.com/parishes/indore-deanery/,,,,
Infant Jesus Church (Nandbagh),Indore,Madhya Pradesh,Catholic,ijc.nandbagh@indorediocese.com,Fr. Naveen Deni Balraj,https://indorediocese.com/parishes/indore-deanery/,,,,
St. Vincent Pallotti Church (Sukhliya),Indore,Madhya Pradesh,Catholic,svpc.sukhliya@indorediocese.com,Fr. Rajesh Vijaykumar,https://indorediocese.com/parishes/indore-deanery/,,,,
St. Joseph's Church (Nandanagar),Indore,Madhya Pradesh,Catholic,sjc.nandanagar@indorediocese.com,Fr. Jolly John,https://indorediocese.com/parishes/indore-deanery/,,,,
Holy Family Church (Habibganj),Bhopal,Madhya Pradesh,Catholic,holyfamilyhbj@gmail.com,,https://www.bhopalarchdiocese.in/directory,,,,
Infant Jesus Church (Ayodhya Bypass Road),Bhopal,Madhya Pradesh,Catholic,ppinfantjesusparish@gmail.com,,https://www.bhopalarchdiocese.in/directory,,,,
Full Life Assembly of God (FLAG),New Delhi,Delhi,Assemblies of God,flagchurch@delhiag.in,Rev. Y. Solomon Kings,https://www.delhiag.in/contact-us.html,,,,
Cathedral Church of the Redemption,New Delhi,Delhi,CNI,cathedraldelhi@gmail.com,,https://www.theredemptionchurch.org/reachus.html,,,,
Sacred Heart Cathedral,New Delhi,Delhi,Catholic,sacredheartcathedralnewdelhi@gmail.com,,https://sacredheartcathedraldelhi.org/menu/ContactDirection/Mail-Us.aspx,,,,
Jerusalem Mar Thoma Church,New Delhi,Delhi,Mar Thoma,office@jerusalemchurchdelhi.org,,https://www.jerusalemchurchdelhi.org/contact.html,,,,
Delhi Bible Fellowship - Central,New Delhi,Delhi,Evangelical,info@dbfcentral.org,,https://www.dbfcentral.org/contact-us,,,,
Delhi Bible Fellowship - South Delhi,New Delhi,Delhi,Evangelical,sdc.dbf@gmail.com,Rev. Abhishikta Satpathy,https://www.dbfsouth.org/,,,,
Delhi Bible Fellowship - North,Delhi,Delhi,Evangelical,george@dbfchurch.org,Rev. George Herman,https://www.dbfnorth.org/visit-us,,,,
CBF Dwarka,New Delhi,Delhi,Evangelical,contact@cbfdwarka.org,,https://www.cbfdwarka.org/,,,,
The Church in New Delhi,New Delhi,Delhi,Local Churches,thechurchinnewdelhi@gmail.com,,https://www.localchurches.org/churches/new-delhi-delhi-india/,,,,
DBF Gurgaon Phase-3 English Church,Gurugram,Haryana,Evangelical,dbfgurgaon@gmail.com,,https://phase3english.dbfgurgaon.org/contact.html,,,,
Universal House of Prayer (UHOP),Gurugram,Haryana,Assemblies of God,uhopag@gmail.com,,https://www.uhopag.org/,,,,
Gurgaon Christian Fellowship,Gurugram,Haryana,Evangelical,contact@gurgaonchristianfellowship.org,,http://www.gurgaonchristianfellowship.org,,,,
Church of Immaculate Conception,Gurugram,Haryana,Catholic,cickanhei@gmail.com,,https://cicgurgaon.org/contact-us/,,,,
Christ Church Noida,Noida,Uttar Pradesh,CNI,ccnpresbyterincharge@gmail.com,Rev. Sandeep David,https://christchurchnoida.in/contact-us,,,,
Mar Gregorios Orthodox Church Noida,Noida,Uttar Pradesh,Malankara Orthodox,frnpp07@yahoo.com,Fr. Ninan P. Philip,http://delhiorthodoxdiocese.com/directory/parish-directory/parishes-in-delhi-surrounding-areas/mar-gregorios-orthodox-church-noida/,,,,
St. Andrew's Church,Kolkata,West Bengal,CNI,andrewschurchkolkata@gmail.com,Rev. Dr. Swarup Bar,https://standrewschurchkolkata.in/,,,,
Assembly of God Church Kolkata,Kolkata,West Bengal,Assemblies of God,connect@agkolkata.org,,https://agkolkata.org/connect/contact/,,,,
Shillong Baptist Church,Shillong,Meghalaya,Baptist,sbcshillong@gmail.com,Timothy C. G. Momin,https://cbcnei.org/,,,,
The Church in Guwahati,Guwahati,Assam,Local Churches,asolmine@gmail.com,,https://www.localchurches.org/churches/guwahati-assam-india/,,,,
Kohima Ao Baptist Arogo,Kohima,Nagaland,Baptist,aoarogo@yahoo.com,,https://kabaarogo.com/contact-us/,,,,
Lotha Baptist Church Dimapur,Dimapur,Nagaland,Baptist,lbcd.dimapur@gmail.com,Rev. Dr. Yanbemo Lotha,https://lbcd.church/contact-us/,,,,
Spirit of Faith Church,Dimapur,Nagaland,Charismatic,office@sofi.church,,https://www.sofi.church/contact/,,,,
Spirit of Faith Church Imphal,Imphal,Manipur,Charismatic,sfcimphal@gmail.com,Pastor Prabin Ahongshangbam,https://www.sofi.church/imphal/,,,,
MBC Centre Church,Imphal,Manipur,Baptist,mbccentrechurch@gmail.com,Rev. Zuankamang Daimai,https://thembc.in/,,,,
Church of Signs and Wonders,Jalandhar,Punjab,Pentecostal,info@ankurnarula.org,,https://www.ankurnarula.org/contact/,,,,
